id,name,stopNumber,latitude,longitude,shelter
001bcd85-b0ed-4c01-91f6-71360e10c4eb,Rue des Vignes E,4362,49.20619345,-2.17884485,
00532836-2b53-4f3e-a4a6-d39e8fc2e0e5,Five Roads,2637,49.24036579,-2.21945777,
007d9e16-d569-41f6-8e73-a7c2d0af9b7e,Hollydale Estate S,3457,49.20407584,-2.14013649,
00d2d07f-1f50-4836-acad-76a7fd6ceb87,Highfield Lane N,2762,49.20421998,-2.08537087,
010b54f6-b912-41db-b8fc-e328619ca563,Jardin de Devant,2923,49.17622945,-2.04169382,
0110d051-2a6b-4568-8200-f818167e9c06,Havre des Pas E,3496,49.177437,-2.09859688,
012aff83-82cc-49e0-927e-b8cdef800700,Beaulieu School,2376,49.18930487,-2.09561,
02104e61-8704-4d3d-9a3f-4aeb2c655af9,Bagatelle Lane S,2498,49.18892618,-2.08944029,1
02d56b05-6b19-4e26-bbb7-78e0692da6d4,Clos des Champs N,2967,49.21526725,-2.06620168,
0317cd13-1b64-4181-abca-b4624c010f8c,The Windmill W,2483,49.23337349,-2.18311288,
036c1e4a-a427-4213-b563-8eb55cb6f851,Clos Bertram N,2437,49.17660087,-2.03259826,
03a6d359-54ec-456b-8cd9-a0668c158f98,Samares Manor W,3765,49.17341195,-2.07912291,
04c60c75-83bc-4140-8083-a39e4955a42b,La Hougue Farm,2862,49.24891185,-2.22201384,
04dbeec9-a486-4328-b5f9-8291ebb8ed88,Cinq Chenes Estate E,4326,49.1978599,-2.08003581,
051600b5-fd41-40f9-9c1e-e63f7c13c289,Pres d'Auvergne,2975,49.23542193,-2.22914596,
0521e7b2-ab78-4cdc-8424-1f8380368412,Clos de Corvez,3756,49.17373911,-2.05485219,1
05b10bed-06e1-42ed-8f0d-581ab53f2500,Tabor Park E,3858,49.18898848,-2.19330138,1
05bec26d-83e9-4614-b952-4a417f509755,Plat Douet School,3545,49.17936562,-2.08786493,
063fbb13-0a10-409e-96ff-24056cf8b3d8,La Mare des Pres N,4394,49.2464274,-2.11180154,
