id,createdAt,name,payByPhoneCode,owner,type,surfaceType,multiStorey,latitude,longitude,paymentMethods,spaces,disabledSpaces,parentChildSpaces,electricChargingSpaces,liveTrackingCode,notes,ownerName
03dcf8ac-c1a6-47f5-a79e-c7d0a3fa738c,2024-06-11T10:02:48.000Z,Ouaisne,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.176997,-2.184203,,105,0,0,0,,,Government of Jersey
04c54fa0-f4cb-4994-8263-23d88a6858f4,2024-06-11T10:02:48.000Z,Elizabeth Lane,59821,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.189642,-2.111843,"PAY_BY_PHONE,SEASON_TICKET,PAYCARD",49,0,0,0,,,Government of Jersey
06ba18e2-9bd5-49bd-a6e7-0680f26800ac,2024-06-11T10:02:48.000Z,Snow Hill,59816,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",SHORT_STAY,TARMAC,,49.181875,-2.103965,,96,0,0,0,,,Government of Jersey
08873e73-efa0-4552-ba91-d567c96d161a,2024-06-11T10:02:48.000Z,Red Houses Lower,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.190842,-2.200471,,52,5,0,1,,,Government of Jersey
0a9da6df-ec95-4c64-8bb8-8805f11410b8,2024-06-11T10:02:48.000Z,Pont Marquet East,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.193624,-2.189294,,15,0,0,0,,,Government of Jersey
0f43a7cb-032a-4180-baec-6b25634d68f1,2024-06-11T10:02:48.000Z,La Collete,59830,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.174406,-2.110316,"PAY_BY_PHONE,SEASON_TICKET,PAYCARD",25,0,0,0,,Half season ticket can be used,Government of Jersey
126b93e9-ed73-4897-85d0-b4efb67ec9f8,2024-06-11T10:02:48.000Z,Mid Bay,59847,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.185592,-2.195195,"PAY_BY_PHONE,PAYCARD,SEASON_TICKET",47,0,0,0,,Half season ticket can be used,Government of Jersey
12ce9671-387a-4680-af62-f1e53df57a09,2024-06-11T10:02:48.000Z,Blanches Banque West,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.19944,-2.222307,,83,0,0,0,,,Government of Jersey
133438d0-5fde-4c42-844f-74f400ab7f3d,2024-06-11T10:02:48.000Z,Route du Nord,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.2518,-2.137922,,35,0,0,0,,,Government of Jersey
154bae97-2178-447c-ae87-f0e902e73629,2024-06-11T10:02:48.000Z,Gorey Promenade (By public gardens),,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.19952,-2.023209,,12,0,0,0,,,Government of Jersey
15a620c8-c6ba-43ad-ba5b-014219d826bf,2024-06-11T10:02:48.000Z,St. Aubin's Yacht Club,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.18519,-2.168491,,5,0,0,0,,,Government of Jersey
177e6b5d-dee1-43b7-8e90-73acf8efe17e,2024-06-11T10:02:48.000Z,Pine Walk,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.212884,-2.027214,,27,0,0,0,,,Government of Jersey
1b4feca9-ef28-458d-a423-9164bcc7c7fd,2024-06-11T10:02:48.000Z,Green Island,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.163526,-2.074488,,74,2,0,0,,,Government of Jersey
1b88cbe1-94f2-4206-87e1-22e1181f8810,2024-06-11T10:02:48.000Z,Lay-by 3,59833,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.191433,-2.123773,"PAYCARD,SEASON_TICKET,PAY_BY_PHONE",59,3,0,0,,Half season ticket can be used,Government of Jersey
21aa685f-0b76-4ce5-8e0b-befa7ec1bc55,2024-06-11T10:02:48.000Z,L'Étacq (Les Laveurs),,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.240494,-2.249601,,65,0,0,0,,,Government of Jersey
2e2a12ec-0cba-4bd8-9664-96040df3383e,2024-06-11T10:02:48.000Z,Lay-by 6,59842,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.195563,-2.133772,"PAY_BY_PHONE,PAYCARD,SEASON_TICKET",85,1,0,0,,FREE between 1st October and 31st March,Government of Jersey
2f40a157-5c13-4941-bb74-1e7091a0a864,2024-06-11T10:02:48.000Z,Archirondel café,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.211577,-2.02506,,22,1,0,0,,,Government of Jersey
309dbbf9-c927-45c8-b75a-156fde46097a,2024-06-11T10:02:48.000Z,"Greve de Lecq, near Old Harbour",,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,CONCRETE,,49.248076,-2.203317,,36,2,0,0,,,Government of Jersey
30d5ec84-6b87-4f32-b3f5-a259ac1178fc,2024-06-11T10:02:48.000Z,Gorey Village Coast Road Lay-by ,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,0,0,,22,0,0,0,,,Government of Jersey
327f3155-61e6-4d07-a6cf-9bbb8e4549e2,2024-06-11T10:02:48.000Z,Noirmont,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.167205,-2.169693,,67,0,0,0,,,Government of Jersey
35a4b520-26b9-46b6-bc22-4b2eb79b5816,2024-06-11T10:02:48.000Z,Route du Fort,59826,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.178835,-2.094556,"PAY_BY_PHONE,PAYCARD,SEASON_TICKET",78,2,0,0,,,Government of Jersey
35eaabc9-a948-4288-aa29-ceb7e4439999,2024-06-11T10:02:48.000Z,Gorey Slip Promenade North (outside The Dolphin),,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.199899,-2.020884,,14,4,0,0,,,Government of Jersey
36af341d-25fd-4da8-b800-3e18a89f7a81,2024-06-11T10:02:48.000Z,First Tower MS,59820,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,CONCRETE,1,49.195044,-2.125935,"PAY_BY_PHONE,SEASON_TICKET,PAYCARD",122,5,0,2,,,Government of Jersey
373dceef-5bc0-4cc6-81c0-3d4e1f045e3a,2024-06-11T10:02:48.000Z,Blanches Banques East,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.20107,-2.218884,,50,0,0,0,,,Government of Jersey
380e34c7-5ec2-47ca-8859-26c8507d4167,2024-06-11T10:02:48.000Z,Lay-by 7,59843,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.196762,-2.141578,"PAY_BY_PHONE,PAYCARD,SEASON_TICKET",45,2,0,0,,FREE between 1st October and 31st March,Government of Jersey
3aababd7-8b7d-4cb9-8e0a-a804d3110aab,2024-06-11T10:02:48.000Z,Sand Street MS,803713,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",SHORT_STAY,CONCRETE,1,49.185248,-2.110646,"PAY_BY_PHONE,PAY_STATION",551,23,23,4,SANDST,"Can stay longer than 3 hours, but cost increases. No paycards.",Government of Jersey
422fffc6-d59d-44ce-a462-9c3d70c124ae,2024-06-11T10:02:48.000Z,Les Mielles,59846,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.194641,-2.162563,"PAY_BY_PHONE,PAYCARD,SEASON_TICKET",43,0,0,0,,Half season ticket can be used,Government of Jersey
4274e85e-4a29-4507-ac2e-a6d84d954ef8,2024-06-11T10:02:48.000Z,Sorel,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.257411,-2.158164,,14,0,0,0,,,Government of Jersey
4771ec5b-5cc9-4d22-8a7b-f4965001499c,2024-06-11T10:02:48.000Z,Le Braye,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.198307,-2.224324,,192,6,0,0,,,Government of Jersey
484a578f-5a56-4d99-b20d-f4d5fc9f7e60,2024-06-11T10:02:48.000Z,La Perquage,59845,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.196469,-2.155109,"PAYCARD,SEASON_TICKET,PAY_BY_PHONE",23,0,0,0,,Half season ticket can be used,Government of Jersey
4a24e293-f701-4305-bc5e-934c14acf332,2024-06-11T10:02:48.000Z,Pier Road MS,59811,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,CONCRETE,1,49.180432,-2.107817,"SEASON_TICKET,PAYCARD,PAY_BY_PHONE",836,4,0,12,PIERRD,"Levels 1 and 2 are reserved for shoppers, you can stay up to 3 hours",Government of Jersey
510597c4-773d-423d-bbee-361420dab035,2024-06-11T10:02:48.000Z,Le Boulevard - St. Aubin,59835,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.185336,-2.168528,"PAY_BY_PHONE,PAYCARD,SEASON_TICKET",32,0,0,0,,Half season ticket can be used,Government of Jersey
567258b4-8e8f-4902-a28e-e3a405306b15,2024-06-11T10:02:48.000Z,Beauport,,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,GRAVEL,,49.180686,-2.20984,,40,0,0,0,,,Government of Jersey
615fa140-da52-43b1-906d-e1d7bbdda1e6,2024-06-11T10:02:48.000Z,Woodford,59849,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",LONG_STAY,TARMAC,,49.185953,-2.199095,"PAY_BY_PHONE,PAYCARD,SEASON_TICKET",232,5,0,0,,Half season ticket can be used,Government of Jersey
66275fcf-900c-41ef-861a-24bfb86e8dcb,2024-06-11T10:02:48.000Z,"Gorey Harbour Slip, adjacent",,"{""id"":""6060f60d-17a1-49c8-aa4a-c268721a806a"",""name"":""Government of Jersey""}",UNKNOWN,TARMAC,,49.197499,-2.028812,,6,0,0,0,,,Government of Jersey
