id,location,streetName,parish,postCode,padNumber,latitude,longitude,notes
3173bc1e-814c-4528-8103-e29524d9f28e,Mourier House,Halkett Place,St Helier,JE2 4GH,1,49.183754,-2.104754,
eb62b6f0-67fd-4950-a1a4-a7af9ada3949,COOP Locale Sion,La Grande Route de St Jean,St John,JE3 4FL,10,49.221126,-2.114217,
4e50cf71-a5ee-49f5-bec1-fd794140dc66,COOP Locale Post Office,La Grande Route de St Martin,St Saviour,JE2 7GT,11,49.210181,-2.061204,
97ee071f-cc0a-47b7-99aa-7150cb7dd00f,COOP Locale Georgetown,Elizabeth Street,St Saviour,JE2 7GP,12,49.17917,-2.09458,
03500dcd-7669-408d-bc22-a6134d7175b6,COOP Locale Pontac,La Grande Route de la Cote,St Clement,JE2 6FU,13,49.169641,-2.048909,
2d22213b-4179-44e4-bbd4-380fe9e53b9c,St Brelade Parish Hall,La Neuve Route,St Brelade,JE3 8BS,14,49.187777,-2.169995,
cf22c6b7-d141-475c-bdf2-f8d90daaa237,COOP Locale Beaumont,La Route De Beaumont,St Peter,JE3 7BQ,15,49.197356,-2.159341,
9478022b-3280-4dd2-8dee-401554ec7c24,COOP Locale Val Plaisant,Val Plaisant,St Helier,JE24TB,16,49.191847,-2.102115,
58c88a33-6702-4e9b-8506-c945c5c9112c,COOP Locale Travel Maker,Don Street,St Helier,JE2 4TR,17,49.186405,-2.105342,
ac31cf61-8a0d-430c-9ce5-3ff4eec271a7,COOP Locale ,La Rue A Don,Grouville,JE3 9DX,18,49.188777,-2.040384,
4444ad5a-0315-469f-bd96-cd79da3d41db,Co-operative Medical Care New Era,Victoria Road,St Clement,JE2 6QG,19,49.177021,-2.088657,
f712935b-07e7-4b23-8c4c-2f101800cd47,St John Ambulance HQ,Midvale Road,St Helier,JE2 3YR,2,49.191794,-2.104242,
c10016c5-168d-48fa-b46d-9e546b03cd09,Quennevais Playing Fields,La Route Des Quennevais,St Brelade,JE3 8LZ,20,49.195011,-2.205,
371ea94e-0f47-44fc-b076-582a78ba5e73,FB Playing Fields,La Grande Route De St Clement,St Clement,JE2 6QN,21,49.17401,-2.085382,
036963a2-9c78-4289-9d33-4704abfc9b67,Grainville School Playing Fields,St Saviours Hill,St Saviour,JE2 7LB,22,49.197718,-2.088143,
e86b6760-06c9-4dc1-bbe2-526a3b9cc330,COOP Locale St Brelade,La Route Des Quennevais,St Brelade,JE3 8LL,23,49.191214,-2.199781,
87899edc-bcf8-4b24-b8a1-2955902909e1,Jersey Airport (Departures),Lavenue de la Reine Elizabeth,St Peter,JE1 1BY,24,49.205168,-2.194791,
4a0c8189-f7ee-441a-a05e-fdde20dafefb,Islands insurance ,Esplanade,St Helier,JE2 3QB,25,49.186173,-2.114067,
763b6bae-74cc-461b-ab56-e9044c8c2786,Ronez Quarry ,La Route Du Nord,St John,JE3 4AR,26,49.257045,-2.150798,
24fb6d47-a1a9-488e-8c19-fb8df0d3cdaf,St John Ambulance (St Martin),La Grande Route de Saint-Martin,St Martin,JE3 6JR,3,49.217829,-2.053039,
fcc45ffd-7d23-4974-85d7-a376d76c2ee3,St Martin Public Hall,La Rue De La Croix au Maistre,St Martin,JE3 6HW,4,49.219195,-2.053449,
7d098bc0-d75f-49a4-9450-fe857c081ac7,Jersey Electricity Co / Power House,Queens Road,St Helier,JE2 3GR,5,49.200276,-2.114184,
839e0a56-bd44-474c-b7af-040c3970369f,La Collette Power Station,Mount Bingham,St Helier,JE2 4XY,6,49.174691,-2.108997,
23f554f9-9057-497e-b584-8168cdfa30ea,Western Fire Station,La Route Des Quennevais,St Brelade,JE3 8LJ,7,49.196524,-2.198444,
e1bdb98c-61cd-498c-b973-eba9abfb0f04,Grande Marche,La Rue Le Masurier,St Helier,JE2 4LZ,8,49.188649,-2.098934,
16a81840-4a61-4de1-be61-0bc65a2429ca,Grande Marche St Peter,Rue De L'Eglise,St Peter,JE3 7AG,9,49.212405,-2.182296,
65e2e7c9-ddb3-4c99-8b21-523c5898e85d,States of Jersey Ambulance Service,Rouge Bouillon,St Helier,JE2 3ZA,27,49.190834,-2.109867,
1334c2fd-c119-4599-be2c-9bc574b2918f,Elizabeth Terminal ,La Route Du Port Elizabeth,St Helier,JE2 3NW,28,49.179687,-2.116429,
62397749-5805-49b8-93f4-8d6649f4ad65,St Saviour Parish Hall,St Saviours Hill,St Saviour,JE2 7LF,29,49.195033,-2.090574,
dd12d1c7-9788-4e02-9a01-b76ba29b9905,St Lawrence Parish Hall,La Grande Route De St Laurent,St Lawrence,JE3 1NG,30,49.215208,-2.141382,
adee67ff-df92-43e7-a3ca-27d881c95c9c,Albert Pier Pontoons,Albert Pier,St Helier,JE2 3NE,31,49.179938,-2.113384,
659893b4-de19-4d67-8332-e65be458b6ba,Rozel Pier / Harbour phone box,Rozel Pier Wall,Trinity,JE3 5BN,32,49.237913,-2.044657,On wall next to yellow phone box
52908c3e-ddbe-4020-a19c-eb6686cca20f,Barette Commercial Centre Mont Mado,Mont Mado,St John,JE3 4DS,33,49.244619,-2.124343,
ac774745-64a5-4dce-b480-6e56ef03312c,Jersey Arts Centre,Phillips Street,St Helier,JE2 4SW,34,49.186071,-2.101296,
5e5af48a-db65-4d1b-9e21-6a448a74b6c4,Jersey Rugby Club,La Rue Des Landes,St Peter,JE3 7BG,35,49.205227,-2.182193,
e6a05d8f-4844-4b51-8158-22a8f5794c16,Jersey Rifle Association Clubhouse,Le Chemin Du Catel,St Mary,JE3 6AD,36,49.24351,-2.188987,
f0ce2d11-e306-4bb3-881b-bd1dea229528,St Helier Marina ,New North Quay,St Helier,JE2 3ND,37,49.181438,-2.110324,
