name,rating,createdAt,address1,address2,address3,postCode,latitude,longitude
"G&J Flavours of Home, Bath Street",3,16/09/2024,Morrisons Daily,48-60  Bath Street,St. Helier,JE2 4SU,49.185462,-2.102357
The Mulcaster & 1823 Grill,4,09/12/2024,The Mulcaster & 1823 Grill,14  Mulcaster Street,St. Helier,JE2 3NJ,49.183115,-2.106983
The Office Bar (Events),2,23/08/2024,,,,,,
Green Dragon / Dish,3,22/10/2024,Green Dragon Chinese Restaurant,Gloucester Street,St. Helier,JE2 3QR,49.187144,-2.111804
BE Caterers,5,25/03/2025,,,,,,
Grouville School (Flourish),5,03/10/2024,Grouville Primary School,La Rue de la Haye du Puits,Grouville,JE3 9DL,49.185554,-2.04231
Wicked Chicken,5,10/06/2024,Wicked Chicken,4  La Rue du Crocquet,St. Brelade,JE3 8AA,49.189334,-2.169974
Kracking Food,5,08/04/2024,,,,,,
Jersey Family Food Kitchen,3,27/01/2025,,,,,,
Sugar & Spice by Rustic Jersey,5,10/06/2024,,,,,,
Flavours of Madeira,4,11/04/2024,6 Cheapside,,St Helier,,49.18876,-2.11235
"Mange Tout, York Street",5,31/05/2024,12  York Street,,St. Helier,JE2 3RQ,49.18583,-2.1095
The Slip Bistro and Grill,4,16/07/2024,La Haule Slip,La Neuve Route,St. Brelade,JE3 8BS,49.189827,-2.168792
El Gato Gordo,5,01/08/2024,Unit 11a,Liberty Wharf,St. Helier,JE2 3NY,49.182951,-2.107887
Dough Jersey,4,07/08/2024,90 Central Market,Halkett Place,St. Helier,JE2 4WL,49.185665,-2.110228
Burger Project,4,25/04/2024,,,,,,
Le Geyt Day Centre,4,15/04/2024,Le Geyt Centre,La Grande Route de St. Martin,St. Saviour,JE2 7GS,49.199905,-2.078274
1TREEFOODS,3,21/05/2025,,,,,,
Pretty Punchy,3,25/09/2024,,,,,,
Morrisons Daily-La Moye,3,20/11/2025,Links Hault,,St. Brelade,JE3 8GQ,49.193024,-2.199614
Morrisons Daily and Wine Warehouse - Snow Hill,3,05/01/2026,2 La Colomberie,Snow Hill,St. Helier,JE2 4QB,49.18349,-2.10298
Kaffe Kitchen,5,05/07/2024,15  La Rue Sinnatt,Rue Des Pres Trading Estate,St. Saviour,JE2 7QT,49.194897,-2.090318
Nicoleta's Home Cakes,5,26/03/2024,35  Burrard Street,,St. Helier,JE2 4WS,49.18613,-2.10596
Spice View,4,14/02/2025,Spice View,La Route de la Côte,St. Martin,JE3 6DR,49.206907,-2.022287
"Rozel Tea Room & Love Cake, Samares Manor",4,02/04/2024,Samares Manor,La Grande Route de St. Clément,St. Clement,JE2 6QW,49.167526,-2.080117
Sweet Humble Pies,4,07/11/2025,,,,,,
Moulin de Lecq,4,22/05/2024,Le Moulin de Lecq,Le Mont de la Greve de Lecq,St. Ouen,JE3 2DT,49.242504,-2.203671
Pablo's Jersey Ltd,5,28/05/2025,Unit 7 Horizon West,The Waterfront,St. Helier,JE2 3WF,49.185665,-2.110228
Andy's Artisan Bakery,5,08/04/2024,,,,,,
Downdog,2,12/05/2025,Cyril Le Marquand Court,,St. Helier,JE2 4SU,49.185665,-2.110228
Hoi Hoi Jersey (Mobile Unit),5,04/10/2024,,,,,,
Bella Italia / Bird Box,4,15/04/2025,Bella Italia,10  York Street,St. Helier,JE2 3RQ,49.185587,-2.109397
Occasions,5,18/07/2024,16 Les Quennevais Parade,La Route des Quennevais,St. Brelade,JE3 8FX,49.18316,-2.17599
Alma Sana Noursh,5,15/05/2025,,,,,,
Gustoso Pizzeria,3,22/09/2025,The Shop,9  Kensington Place,St. Helier,JE2 3PA,49.18844,-2.11251
Bar Basso & Catch Fish & Chips,2,02/12/2025,Unit 13b Liberty Wharf,La Route de la Libération,,JE2 3NY,49.183607,-2.112168
La Hougue Bie,5,29/04/2025,La Hougue Bie Museum,La Route de la Hougue Bie,Grouville,JE3 9HQ,49.202214,-2.053117
The Bagot Inn,5,24/02/2025,Georgetown Road,,St. Saviour,JE2 7PH,49.178826,-2.093266
The Adelphi Lounge,5,18/05/2021,The Parade,,St. Helier,JE2 3QP,49.187094,-2.110629
Maison St Brelade Care Home,5,07/02/2025,,Maison St. Brelade,St. Brelade,JE3 8FB,,
Acorn Cafe,4,21/03/2024,Acorn Enterprises Ltd,La Rue D'Asplet,Trinity,JE3 5JF,49.233709,-2.094006
"Mange Tout, International Finance Centre 5",3,01/08/2023,IFC 5,IFC Jersey,St. Helier,JE2 3BY,49.185665,-2.110228
Niche Events,5,23/05/2024,,,,,,
Hotel De France,5,10/04/2019,St. Saviours Road,,St. Saviour,JE1 7XP,49.18823,-2.097242
Trafalgar Inn,3,19/11/2018,La Rue du Crucquet,St. Aubin,JERSEY,JE3 8BR,49.301876,1.012524
Earl Granville,3,28/03/2019,Earl Granville,Charles Street,St. Helier,JE2 4SF,49.185469,-2.10137
The Bear,3,03/12/2025,The Bear Public House & Dining Room,36  King Street,St. Helier,JE2 4WF,49.18445,-2.10681
Gloster Vaults,5,25/07/2022,35 Gloucester Street,,St. Helier,JE2 3QR,49.186736,-2.112832
The New Park Hotel,4,19/02/2019,New Park Hotel,4,St. Helier,JE2 3PD,49.185665,-2.110228
The Spice House,5,23/07/2024,59-62 Central Market,Halkett Place,Jersey,JE2 4WL,49.21849,-2.14198
Pizzeria Romana,4,12/07/2024,17 Charing Cross,St. Helier,,JE2 3RP,49.185238,-2.109729
Quick Stop,5,21/05/2024,7 Charing Cross,St. Helier,,JE2 3RP,49.18514,-2.10925
Cheapside Butchers,3,19/07/2024,19 Cheapside,St. Helier,,JE2 3PG,49.18924,-2.11295
St. John's Inn,3,07/03/2024,La Rue De La Mare Ballam,St. John,,JE3 4EJ,49.240274,-2.137734
St. John's Parish Hall,5,24/10/2023,La Rue De La Mare Ballam,St. John,,JE3 4EJ,49.240274,-2.137734
Cafe Ouen,4,12/04/2024,Portinfer Farm,La Rue de la Porte,Jersey,JE3 2BN,39.119433,-90.327488
Unifare Stores,3,10/04/2024,Le Geyt Road,St. Saviour,,JE2 7NS,49.192846,-2.098538
Waitrose (Jersey) Ltd - St Helier,5,12/07/2022,La Vallée des Vaux,St. Helier,,JE2 3GA,49.194888,-2.101646
The Good Stone,4,31/05/2022,,,,,,
Centre Point Trust Playcare,3,09/12/2023,Le Hurel,La Pouquelaye,Jersey,JE2 3FU,43.865135,-85.37849
Jersey Aero Club,4,28/09/2023,L'Avenue de la Reine Elizabeth II,St. Peter,,JE3 7BP,49.206594,-2.187314
Jersey Hospice Care,4,31/10/2024,Clarkson House,Le Mont Cochon,Jersey,JE2 3JB,50.442049,5.597497
MFA Bowling,4,01/07/2025,Jersey Bowl,L'Avenue de la Reine Elizabeth II,Jersey,JE3 7BP,49.206594,-2.187314
The Old Bake House Cafe,4,29/07/2022,Le Mont Cochon,St. Helier,,JE2 3JA,49.185665,-2.110228
The Tenby,4,03/04/2024,Le Boulevard,St. Brelade,,JE3 8AB,49.186263,-2.169611
St Peter's Indoor Market,4,19/07/2025,Western Minature Rifle Club,Rue des Fosses,Jersey,JE3 7AH,49.211777,-2.182927
St Peter's Football Club,4,19/08/2022,La Rue des Vignes,St. Peter,,JE3 7BE,49.21283,-2.18372
World Duty Free,5,22/07/2022,States of Jersey Airport,L'Avenue de la Reine Elizabeth II,Jersey,JE3 7BP,49.206594,-2.187314
Co-Op Locale - Val Plaisant,5,29/07/2024,59 Val Plaisant,St. Helier,,JE2 4TB,49.19186,-2.10227
Co-Op Locale - Beaumont,5,25/05/2022,La Route De Beaumont,St. Peter,,JE1 1AS,49.21283,-2.18372
Centre Point Two,4,15/04/2024,St. Helier Day Nursery,Green Street,Jersey,JE2 4UH,39.119433,-90.327488
Co-Op Fresh Food Grande Marche,4,03/08/2025,La Rue de l'Église,St. Peter,,JE3 7AG,49.213038,-2.18341
Bethesda Methodist Church,5,31/10/2023,La Route du Moulin,St. Peter,,JE3 7FR,49.211369,-2.211038
La Petite Ecole 2,5,19/12/2022,47 St. Marks Road,St. Helier,,JE2 4LY,49.19043,-2.10049
Driftwood Cafe,4,01/08/2023,Archirondel,La Route de la Côte,Jersey,JE3 6DY,49.212394,-2.020904
Noya Shapla,4,05/06/2025,Natwest Bank,Charing Cross,Jersey,JE3 8AA,49.185157,-2.109372
Brig-y-Don House,3,05/07/2024,Brig-y-Don,La Grande Route de la Côte,Jersey,JE2 6FT,48.718906,10.778779
"The Gardener's Tearoom, Ransoms",4,03/02/2025,The Gardener's Tearoom,Ransoms Garden Centre,St. Martin,JE3 6UG,49.217728,-2.051631
The Lighthouse Beach Cafe,5,01/06/2022,La Mare Slipway,La Grande Route de la Côte,Jersey,JE2 6SB,51.34083,12.375101
Rhona's at the Beach,5,03/02/2025,La Montee des Greves Slipway,La Route de la Cote,St. Martin,,49.206907,-2.022287
Barkers Newsagents,3,29/07/2024,Barkers Newsagents,12 Val Plaisant,Jersey,JE2 4TA,49.191634,-2.102534
Superdrug,5,21/07/2023,Rutland House,76-78 King Street,St. Helier,JE2 4WE,49.184451,-2.106853
Bolero Bistro,4,11/01/2024,22 Rouge Bouillon,St. Helier,,JE2 3ZA,49.190204,-2.109891
Stuart Court Residential Home,5,12/04/2024,La Rue De Haut,St. Lawrence,,JE3 1JQ,49.200793,-2.142924
Woodlands Farm Butchers Ltd,4,15/01/2024,Woodlands Farm (Dairy),La Rue de Maupertuis,Jersey,JE2 3HG,49.168064,-2.081943
St Clement Sports Club (Football Pi),4,27/03/2024,St Clement Sports Club,La Grande Route de St. Clément,,,48.492226,9.211566
Aquadome Cascades,5,15/07/2025,Merton Leisure Club & Aquadome,Belvedere Hill,Jersey,JE2 7RP,49.21849,-2.14198
Cineworld,5,01/07/2022,Cineworld,La Rue De L'Etau,St. Helier,JE2 3WF,49.181852,-2.113789
Crabbe Clay Pigeon Club,5,24/02/2023,La Rue de Crabbé,St. Mary,,JE3 3AD,49.236404,-2.171625
Cargo Coffee at Santander Work Cafe,4,21/05/2024,13-15 Charing Cross,St. Helier,,JE2 3RP,49.185157,-2.109372
Entwhistle's Takeaway,5,02/04/2024,Entwhistles Takeaway,Gorey Village Main Road,Jersey,JE3 9EP,46.072593,-68.436359
Co-Op Locale - Pontac,5,05/09/2022,La Grande Route de la Côte,St. Clement,,JE2 6SE,49.167532,-2.063859
Finchy's,5,29/04/2022,,,,,,
Banjo,5,01/05/2024,8 Beresford Street,St. Helier,,JE1 5JP,49.185278,-2.103844
Just William,5,13/10/2022,93 Central Market,Halkett Place,Jersey,JE2 4WL,49.21849,-2.14198
The Jersey Tea Company Ltd,5,29/02/2024,,,,,,
Seawold Guest House,4,27/09/2022,La Route de la Haule,St. Peter,,JE3 7BA,49.21283,-2.18372
