id,createdAt,location,parish,latitude,longitude,notes,services
010c4d66-cd8b-49da-a130-c13d2960e50c,2024-06-17T07:23:12.000Z,St Peter's Valley,St Lawrence,49.210991,-2.160824,Opposite Victoria in the Valley,"BATTERIES,CARDBOARD,METAL_PACKAGING,PAPER,PLASTIC_BOTTLES,MIXED_TEXTILES"
020730a8-62b3-4abe-a05b-ae69e3b79e7e,2024-06-17T07:23:12.000Z,St Luke's Church,St Saviour,49.17923,-2.09597,,METAL_PACKAGING_DRINK_CANS
0466f9af-9f68-4130-b690-5d24e53ca0bf,2024-06-17T07:23:12.000Z,Acorn Enterprises,Trinity,49.233821,-2.094823,,"BATTERIES,CARDBOARD,METAL_PACKAGING,PAPER,PLASTIC_BOTTLES"
04ff572e-28c3-4b3d-8692-cecb2d24ba56,2024-06-17T07:23:12.000Z,Rue des Pres,St Saviour,49.18289,-2.07722,At entrance to trading estate,MIXED_TEXTILES
0624946f-cde6-4d75-b348-51f9e62810c1,2024-06-17T07:23:12.000Z,Grouville Parish Hall,Grouville,49.18437,-2.05216,,MIXED_TEXTILES
1123f119-d18f-4bdd-828a-b4f6471ba2bb,2024-06-17T07:23:12.000Z,St Peter Community Centre,St Peter,49.21194,-2.18381,,"BATTERIES,CARDBOARD,METAL_PACKAGING,PAPER,PLASTIC_BOTTLES"
176edfae-641c-4234-b5ed-dab77672af15,2024-06-17T07:23:12.000Z,Co-op Grand Marche St Peter,St Peter,49.21248,-2.1824,,"BATTERIES,MIXED_TEXTILES"
1c26b0cb-cdbd-4143-b6fc-c9d179cc8414,2024-06-17T07:23:12.000Z,Waitrose St Saviour,St Saviour,49.17967,-2.08484,,"BATTERIES,MIXED_TEXTILES"
1dcef65a-8fa4-4be0-8c15-efbc73001868,2024-06-17T07:23:12.000Z,The Parade,St Helier,49.18776,-2.11071,,METAL_PACKAGING_DRINK_CANS
21d33a5b-9f69-459f-bcc3-a5a70c90de27,2024-06-17T07:23:12.000Z,Co-op Locale Pontac,St Clement,49.16972,-2.04886,,BATTERIES
30afa764-16fb-4bd4-a6b0-a5539aeee2f4,2024-06-17T07:23:12.000Z,St Mary Community Centre Car Park,St Mary,49.237413,-2.174394,,"BATTERIES,METAL_PACKAGING,PAPER,PLASTIC_BOTTLES,MIXED_TEXTILES"
3219231b-63c9-4335-bd6d-4da8da38ca1a,2024-06-17T07:23:12.000Z,Co-op Locale Charing Cross,St Helier,49.18519,-2.10909,,BATTERIES
33097aee-7c18-4ca8-9447-f8c33a647292,2024-06-17T07:23:12.000Z,Maufant Youth Club,St Martin,49.20976,-2.06156,,METAL_PACKAGING_DRINK_CANS
35a09adc-6508-4aad-ba5a-9f932bc41306,2024-06-17T07:23:12.000Z,Waitrose St Helier,St Helier,49.19549,-2.10207,,"BATTERIES,MIXED_TEXTILES"
50c45b3c-26d7-4b01-a987-bcd3119299ab,2024-06-17T07:23:12.000Z,Jersey Bowl,St Peter,49.20511,-2.18302,,MIXED_TEXTILES
5580f376-a638-4c90-b80e-2a129cd54ba4,2024-06-17T07:23:12.000Z,St Saviour Parish Depot,St Saviour,49.182061,-2.079948,Rue des Pres trading estate,"BATTERIES,CARDBOARD,GLASS,METAL_PACKAGING,PAPER,PLASTIC_BOTTLES"
581e958f-9a6c-4c19-888d-9480b7417a50,2024-06-17T07:23:12.000Z,Trinity Youth Club,Trinity,49.23508,-2.09082,,METAL_PACKAGING_DRINK_CANS
599fae6a-c75c-486e-a42f-56a93d2fb079,2024-06-17T07:23:12.000Z,People's Park,St Helier,49.18919,-2.11589,,"METAL_PACKAGING_DRINK_CANS,MIXED_TEXTILES"
5b6d7dde-f691-4c87-af42-02e5457d42ff,2024-06-17T07:23:12.000Z,St Ouen Parish Depot,St Ouen,49.234951,-2.203458,,"BATTERIES,MIXED_TEXTILES"
